trip_id,stop_id,stop_sequence,arrival_time,departure_time
L1_trip_4,L1_25,25,27000,27000
L1_trip_4,L1_26,26,27120,27120
L1_trip_4,L1_27,27,27240,27240
L1_trip_4,L1_28,28,27360,27360
L1_trip_5,L1_0,0,24600,24600
L1_trip_5,L1_1,1,24720,24720
L1_trip_5,L1_2,2,24840,24840
L1_trip_5,L1_3,3,24960,24960
L1_trip_5,L1_4,4,25080,25080
L1_trip_5,L1_5,5,25200,25200
L1_trip_5,L1_6,6,25320,25320
L1_trip_5,L1_7,7,25440,25440
L1_trip_5,L1_8,8,25560,25560
L1_trip_5,L1_9,9,25680,25680
L1_trip_5,L1_10,10,25800,25800
L1_trip_5,L1_11,11,25920,25920
L1_trip_5,L1_12,12,26040,26040
L1_trip_5,L1_13,13,26160,26160
L1_trip_5,L1_14,14,26280,26280
L1_trip_5,L1_15,15,26400,26400
L1_trip_5,L1_16,16,26520,26520
L1_trip_5,L1_17,17,26640,26640
L1_trip_5,L1_18,18,26760,26760
L1_trip_5,L1_19,19,26880,26880
L1_trip_5,L1_20,20,27000,27000
L1_trip_5,L1_21,21,27120,27120
L1_trip_5,L1_22,22,27240,27240
L1_trip_5,L1_23,23,27360,27360
L1_trip_5,L1_24,24,27480,27480
L1_trip_5,L1_25,25,27600,27600
L1_trip_5,L1_26,26,27720,27720
L1_trip_5,L1_27,27,27840,27840
L1_trip_5,L1_28,28,27960,27960
L1_trip_6,L1_0,0,25200,25200
L1_trip_6,L1_1,1,25320,25320
L1_trip_6,L1_2,2,25440,25440
L1_trip_6,L1_3,3,25560,25560
L1_trip_6,L1_4,4,25680,25680
L1_trip_6,L1_5,5,25800,25800
L1_trip_6,L1_6,6,25920,25920
L1_trip_6,L1_7,7,26040,26040
L1_trip_6,L1_8,8,26160,26160
L1_trip_6,L1_9,9,26280,26280
L1_trip_6,L1_10,10,26400,26400
L1_trip_6,L1_11,11,26520,26520
L1_trip_6,L1_12,12,26640,26640
L1_trip_6,L1_13,13,26760,26760
L1_trip_6,L1_14,14,26880,26880
L1_trip_6,L1_15,15,27000,27000
L1_trip_6,L1_16,16,27120,27120
L1_trip_6,L1_17,17,27240,27240
L1_trip_6,L1_18,18,27360,27360
L1_trip_6,L1_19,19,27480,27480
L1_trip_6,L1_20,20,27600,27600
L1_trip_6,L1_21,21,27720,27720
L1_trip_6,L1_22,22,27840,27840
L1_trip_6,L1_23,23,27960,27960
L1_trip_6,L1_24,24,28080,28080
L1_trip_6,L1_25,25,28200,28200
L1_trip_6,L1_26,26,28320,28320
L1_trip_6,L1_27,27,28440,28440
L1_trip_6,L1_28,28,28560,28560
L1_trip_7,L1_0,0,25800,25800
L1_trip_7,L1_1,1,25920,25920
L1_trip_7,L1_2,2,26040,26040
L1_trip_7,L1_3,3,26160,26160
L1_trip_7,L1_4,4,26280,26280
L1_trip_7,L1_5,5,26400,26400
L1_trip_7,L1_6,6,26520,26520
L1_trip_7,L1_7,7,26640,26640
L1_trip_7,L1_8,8,26760,26760
L1_trip_7,L1_9,9,26880,26880
L1_trip_7,L1_10,10,27000,27000
L1_trip_7,L1_11,11,27120,27120
L1_trip_7,L1_12,12,27240,27240
L1_trip_7,L1_13,13,27360,27360
L1_trip_7,L1_14,14,27480,27480
L1_trip_7,L1_15,15,27600,27600
L1_trip_7,L1_16,16,27720,27720
L1_trip_7,L1_17,17,27840,27840
L1_trip_7,L1_18,18,27960,27960
L1_trip_7,L1_19,19,28080,28080
L1_trip_7,L1_20,20,28200,28200
L1_trip_7,L1_21,21,28320,28320
L1_trip_7,L1_22,22,28440,28440
L1_trip_7,L1_23,23,28560,28560
L1_trip_7,L1_24,24,28680,28680
L1_trip_7,L1_25,25,28800,28800
L1_trip_7,L1_26,26,28920,28920
L1_trip_7,L1_27,27,29040,29040
L1_trip_7,L1_28,28,29160,29160
L1_trip_8,L1_0,0,26400,26400
L1_trip_8,L1_1,1,26520,26520
L1_trip_8,L1_2,2,26640,26640
L1_trip_8,L1_3,3,26760,26760
L1_trip_8,L1_4,4,26880,26880
L1_trip_8,L1_5,5,27000,27000
L1_trip_8,L1_6,6,27120,27120
L1_trip_8,L1_7,7,27240,27240
L1_trip_8,L1_8,8,27360,27360
L1_trip_8,L1_9,9,27480,27480
L1_trip_8,L1_10,10,27600,27600
L1_trip_8,L1_11,11,27720,27720
L1_trip_8,L1_12,12,27840,27840
L1_trip_8,L1_13,13,27960,27960
L1_trip_8,L1_14,14,28080,28080
L1_trip_8,L1_15,15,28200,28200
L1_trip_8,L1_16,16,28320,28320
L1_trip_8,L1_17,17,28440,28440
L1_trip_8,L1_18,18,28560,28560
L1_trip_8,L1_19,19,28680,28680
L1_trip_8,L1_20,20,28800,28800
L1_trip_8,L1_21,21,28920,28920
L1_trip_8,L1_22,22,29040,29040
L1_trip_8,L1_23,23,29160,29160
L1_trip_8,L1_24,24,29280,29280
L1_trip_8,L1_25,25,29400,29400
L1_trip_8,L1_26,26,29520,29520
L1_trip_8,L1_27,27,29640,29640
L1_trip_8,L1_28,28,29760,29760
L1_trip_9,L1_0,0,27000,27000
L1_trip_9,L1_1,1,27120,27120
L1_trip_9,L1_2,2,27240,27240
L1_trip_9,L1_3,3,27360,27360
L1_trip_9,L1_4,4,27480,27480
L1_trip_9,L1_5,5,27600,27600
L1_trip_9,L1_6,6,27720,27720
L1_trip_9,L1_7,7,27840,27840
L1_trip_9,L1_8,8,27960,27960
L1_trip_9,L1_9,9,28080,28080
L1_trip_9,L1_10,10,28200,28200
L1_trip_9,L1_11,11,28320,28320
L1_trip_9,L1_12,12,28440,28440
L1_trip_9,L1_13,13,28560,28560
L1_trip_9,L1_14,14,28680,28680
L1_trip_9,L1_15,15,28800,28800
L1_trip_9,L1_16,16,28920,28920
L1_trip_9,L1_17,17,29040,29040
L1_trip_9,L1_18,18,29160,29160
L1_trip_9,L1_19,19,29280,29280
L1_trip_9,L1_20,20,29400,29400
L1_trip_9,L1_21,21,29520,29520
L1_trip_9,L1_22,22,29640,29640
L1_trip_9,L1_23,23,29760,29760
L1_trip_9,L1_24,24,29880,29880
L1_trip_9,L1_25,25,30000,30000
L1_trip_9,L1_26,26,30120,30120
L1_trip_9,L1_27,27,30240,30240
L1_trip_9,L1_28,28,30360,30360
L1_trip_10,L1_0,0,27600,27600
L1_trip_10,L1_1,1,27720,27720
L1_trip_10,L1_2,2,27840,27840
L1_trip_10,L1_3,3,27960,27960
L1_trip_10,L1_4,4,28080,28080
L1_trip_10,L1_5,5,28200,28200
L1_trip_10,L1_6,6,28320,28320
L1_trip_10,L1_7,7,28440,28440
L1_trip_10,L1_8,8,28560,28560
L1_trip_10,L1_9,9,28680,28680
L1_trip_10,L1_10,10,28800,28800
L1_trip_10,L1_11,11,28920,28920
L1_trip_10,L1_12,12,29040,29040
L1_trip_10,L1_13,13,29160,29160
L1_trip_10,L1_14,14,29280,29280
L1_trip_10,L1_15,15,29400,29400
L1_trip_10,L1_16,16,29520,29520
L1_trip_10,L1_17,17,29640,29640
L1_trip_10,L1_18,18,29760,29760
L1_trip_10,L1_19,19,29880,29880
L1_trip_10,L1_20,20,30000,30000
L1_trip_10,L1_21,21,30120,30120
L1_trip_10,L1_22,22,30240,30240
L1_trip_10,L1_23,23,30360,30360
L1_trip_10,L1_24,24,30480,30480
L1_trip_10,L1_25,25,30600,30600
L1_trip_10,L1_26,26,30720,30720
L1_trip_10,L1_27,27,30840,30840
L1_trip_10,L1_28,28,30960,30960
L1_trip_11,L1_0,0,28200,28200
L1_trip_11,L1_1,1,28320,28320
L1_trip_11,L1_2,2,28440,28440
L1_trip_11,L1_3,3,28560,28560
L1_trip_11,L1_4,4,28680,28680
L1_trip_11,L1_5,5,28800,28800
L1_trip_11,L1_6,6,28920,28920
L1_trip_11,L1_7,7,29040,29040
L1_trip_11,L1_8,8,29160,29160
L1_trip_11,L1_9,9,29280,29280
L1_trip_11,L1_10,10,29400,29400
L1_trip_11,L1_11,11,29520,29520
L1_trip_11,L1_12,12,29640,29640
L1_trip_11,L1_13,13,29760,29760
L1_trip_11,L1_14,14,29880,29880
L1_trip_11,L1_15,15,30000,30000
L1_trip_11,L1_16,16,30120,30120
L1_trip_11,L1_17,17,30240,30240
L1_trip_11,L1_18,18,30360,30360
L1_trip_11,L1_19,19,30480,30480
L1_trip_11,L1_20,20,30600,30600
L1_trip_11,L1_21,21,30720,30720
L1_trip_11,L1_22,22,30840,30840
L1_trip_11,L1_23,23,30960,30960
L1_trip_11,L1_24,24,31080,31080
L1_trip_11,L1_25,25,31200,31200
L1_trip_11,L1_26,26,31320,31320
L1_trip_11,L1_27,27,31440,31440
L1_trip_11,L1_28,28,31560,31560
L1_trip_12,L1_0,0,28800,28800
L1_trip_12,L1_1,1,28920,28920
L1_trip_12,L1_2,2,29040,29040
L1_trip_12,L1_3,3,29160,29160
L1_trip_12,L1_4,4,29280,29280
L1_trip_12,L1_5,5,29400,29400
L1_trip_12,L1_6,6,29520,29520
L1_trip_12,L1_7,7,29640,29640
L1_trip_12,L1_8,8,29760,29760
L1_trip_12,L1_9,9,29880,29880
L1_trip_12,L1_10,10,30000,30000
L1_trip_12,L1_11,11,30120,30120
L1_trip_12,L1_12,12,30240,30240
L1_trip_12,L1_13,13,30360,30360
L1_trip_12,L1_14,14,30480,30480
L1_trip_12,L1_15,15,30600,30600
L1_trip_12,L1_16,16,30720,30720
L1_trip_12,L1_17,17,30840,30840
L1_trip_12,L1_18,18,30960,30960
L1_trip_12,L1_19,19,31080,31080
L1_trip_12,L1_20,20,31200,31200
L1_trip_12,L1_21,21,31320,31320
L1_trip_12,L1_22,22,31440,31440
L1_trip_12,L1_23,23,31560,31560
L1_trip_12,L1_24,24,31680,31680
L1_trip_12,L1_25,25,31800,31800
L1_trip_12,L1_26,26,31920,31920
L1_trip_12,L1_27,27,32040,32040
L1_trip_12,L1_28,28,32160,32160
L1_trip_13,L1_0,0,29400,29400
L1_trip_13,L1_1,1,29520,29520
L1_trip_13,L1_2,2,29640,29640
L1_trip_13,L1_3,3,29760,29760
L1_trip_13,L1_4,4,29880,29880
L1_trip_13,L1_5,5,30000,30000
L1_trip_13,L1_6,6,30120,30120
L1_trip_13,L1_7,7,30240,30240
L1_trip_13,L1_8,8,30360,30360
L1_trip_13,L1_9,9,30480,30480
L1_trip_13,L1_10,10,30600,30600
L1_trip_13,L1_11,11,30720,30720
L1_trip_13,L1_12,12,30840,30840
L1_trip_13,L1_13,13,30960,30960
L1_trip_13,L1_14,14,31080,31080
L1_trip_13,L1_15,15,31200,31200
L1_trip_13,L1_16,16,31320,31320
L1_trip_13,L1_17,17,31440,31440
L1_trip_13,L1_18,18,31560,31560
L1_trip_13,L1_19,19,31680,31680
L1_trip_13,L1_20,20,31800,31800
L1_trip_13,L1_21,21,31920,31920
L1_trip_13,L1_22,22,32040,32040
L1_trip_13,L1_23,23,32160,32160
L1_trip_13,L1_24,24,32280,32280
L1_trip_13,L1_25,25,32400,32400
L1_trip_13,L1_26,26,32520,32520
L1_trip_13,L1_27,27,32640,32640
L1_trip_13,L1_28,28,32760,32760
L1_trip_14,L1_0,0,30000,30000
L1_trip_14,L1_1,1,30120,30120
L1_trip_14,L1_2,2,30240,30240
L1_trip_14,L1_3,3,30360,30360
L1_trip_14,L1_4,4,30480,30480
L1_trip_14,L1_5,5,30600,30600
L1_trip_14,L1_6,6,30720,30720
L1_trip_14,L1_7,7,30840,30840
L1_trip_14,L1_8,8,30960,30960
L1_trip_14,L1_9,9,31080,31080
L1_trip_14,L1_10,10,31200,31200
L1_trip_14,L1_11,11,31320,31320
L1_trip_14,L1_12,12,31440,31440
L1_trip_14,L1_13,13,31560,31560
L1_trip_14,L1_14,14,31680,31680
L1_trip_14,L1_15,15,31800,31800
L1_trip_14,L1_16,16,31920,31920
L1_trip_14,L1_17,17,32040,32040
L1_trip_14,L1_18,18,32160,32160
L1_trip_14,L1_19,19,32280,32280
L1_trip_14,L1_20,20,32400,32400
L1_trip_14,L1_21,21,32520,32520
L1_trip_14,L1_22,22,32640,32640
L1_trip_14,L1_23,23,32760,32760
L1_trip_14,L1_24,24,32880,32880
L1_trip_14,L1_25,25,33000,33000
L1_trip_14,L1_26,26,33120,33120
L1_trip_14,L1_27,27,33240,33240
L1_trip_14,L1_28,28,33360,33360
L1_trip_15,L1_0,0,30600,30600
L1_trip_15,L1_1,1,30720,30720
L1_trip_15,L1_2,2,30840,30840
L1_trip_15,L1_3,3,30960,30960
L1_trip_15,L1_4,4,31080,31080
L1_trip_15,L1_5,5,31200,31200
L1_trip_15,L1_6,6,31320,31320
L1_trip_15,L1_7,7,31440,31440
L1_trip_15,L1_8,8,31560,31560
L1_trip_15,L1_9,9,31680,31680
L1_trip_15,L1_10,10,31800,31800
L1_trip_15,L1_11,11,31920,31920
L1_trip_15,L1_12,12,32040,32040
L1_trip_15,L1_13,13,32160,32160
L1_trip_15,L1_14,14,32280,32280
L1_trip_15,L1_15,15,32400,32400
L1_trip_15,L1_16,16,32520,32520
L1_trip_15,L1_17,17,32640,32640
L1_trip_15,L1_18,18,32760,32760
L1_trip_15,L1_19,19,32880,32880
L1_trip_15,L1_20,20,33000,33000
L1_trip_15,L1_21,21,33120,33120
L1_trip_15,L1_22,22,33240,33240
L1_trip_15,L1_23,23,33360,33360
L1_trip_15,L1_24,24,33480,33480
L1_trip_15,L1_25,25,33600,33600
L1_trip_15,L1_26,26,33720,33720
L1_trip_15,L1_27,27,33840,33840
L1_trip_15,L1_28,28,33960,33960
L1_trip_16,L1_0,0,31200,31200
L1_trip_16,L1_1,1,31320,31320
L1_trip_16,L1_2,2,31440,31440
L1_trip_16,L1_3,3,31560,31560
L1_trip_16,L1_4,4,31680,31680
L1_trip_16,L1_5,5,31800,31800
L1_trip_16,L1_6,6,31920,31920
L1_trip_16,L1_7,7,32040,32040
L1_trip_16,L1_8,8,32160,32160
L1_trip_16,L1_9,9,32280,32280
L1_trip_16,L1_10,10,32400,32400
L1_trip_16,L1_11,11,32520,32520
L1_trip_16,L1_12,12,32640,32640
L1_trip_16,L1_13,13,32760,32760
L1_trip_16,L1_14,14,32880,32880
L1_trip_16,L1_15,15,33000,33000
L1_trip_16,L1_16,16,33120,33120
L1_trip_16,L1_17,17,33240,33240
L1_trip_16,L1_18,18,33360,33360
L1_trip_16,L1_19,19,33480,33480
L1_trip_16,L1_20,20,33600,33600
L1_trip_16,L1_21,21,33720,33720
L1_trip_16,L1_22,22,33840,33840
L1_trip_16,L1_23,23,33960,33960
L1_trip_16,L1_24,24,34080,34080
L1_trip_16,L1_25,25,34200,34200
L1_trip_16,L1_26,26,34320,34320
L1_trip_16,L1_27,27,34440,34440
L1_trip_16,L1_28,28,34560,34560
L1_trip_17,L1_0,0,31800,31800
L1_trip_17,L1_1,1,31920,31920
L1_trip_17,L1_2,2,32040,32040
L1_trip_17,L1_3,3,32160,32160
L1_trip_17,L1_4,4,32280,32280
L1_trip_17,L1_5,5,32400,32400
L1_trip_17,L1_6,6,32520,32520
L1_trip_17,L1_7,7,32640,32640
L1_trip_17,L1_8,8,32760,32760
L1_trip_17,L1_9,9,32880,32880
L1_trip_17,L1_10,10,33000,33000
L1_trip_17,L1_11,11,33120,33120
L1_trip_17,L1_12,12,33240,33240
L1_trip_17,L1_13,13,33360,33360
L1_trip_17,L1_14,14,33480,33480
L1_trip_17,L1_15,15,33600,33600
L1_trip_17,L1_16,16,33720,33720
L1_trip_17,L1_17,17,33840,33840
L1_trip_17,L1_18,18,33960,33960
L1_trip_17,L1_19,19,34080,34080
L1_trip_17,L1_20,20,34200,34200
L1_trip_17,L1_21,21,34320,34320
L1_trip_17,L1_22,22,34440,34440
L1_trip_17,L1_23,23,34560,34560
L1_trip_17,L1_24,24,34680,34680
L1_trip_17,L1_25,25,34800,34800
L1_trip_17,L1_26,26,34920,34920
L1_trip_17,L1_27,27,35040,35040
L1_trip_17,L1_28,28,35160,35160
L1_trip_18,L1_0,0,32400,32400
L1_trip_18,L1_1,1,32520,32520
L1_trip_18,L1_2,2,32640,32640
L1_trip_18,L1_3,3,32760,32760
L1_trip_18,L1_4,4,32880,32880
L1_trip_18,L1_5,5,33000,33000
L1_trip_18,L1_6,6,33120,33120
L1_trip_18,L1_7,7,33240,33240
L1_trip_18,L1_8,8,33360,33360
L1_trip_18,L1_9,9,33480,33480
L1_trip_18,L1_10,10,33600,33600
L1_trip_18,L1_11,11,33720,33720
L1_trip_18,L1_12,12,33840,33840
L1_trip_18,L1_13,13,33960,33960
L1_trip_18,L1_14,14,34080,34080
L1_trip_18,L1_15,15,34200,34200
L1_trip_18,L1_16,16,34320,34320
L1_trip_18,L1_17,17,34440,34440
L1_trip_18,L1_18,18,34560,34560
L1_trip_18,L1_19,19,34680,34680
L1_trip_18,L1_20,20,34800,34800
L1_trip_18,L1_21,21,34920,34920
L1_trip_18,L1_22,22,35040,35040
L1_trip_18,L1_23,23,35160,35160
L1_trip_18,L1_24,24,35280,35280
L1_trip_18,L1_25,25,35400,35400
L1_trip_18,L1_26,26,35520,35520
L1_trip_18,L1_27,27,35640,35640
L1_trip_18,L1_28,28,35760,35760
L1_trip_19,L1_0,0,33000,33000
L1_trip_19,L1_1,1,33120,33120
L1_trip_19,L1_2,2,33240,33240
L1_trip_19,L1_3,3,33360,33360
L1_trip_19,L1_4,4,33480,33480
L1_trip_19,L1_5,5,33600,33600
L1_trip_19,L1_6,6,33720,33720
L1_trip_19,L1_7,7,33840,33840
L1_trip_19,L1_8,8,33960,33960
L1_trip_19,L1_9,9,34080,34080
L1_trip_19,L1_10,10,34200,34200
L1_trip_19,L1_11,11,34320,34320
L1_trip_19,L1_12,12,34440,34440
L1_trip_19,L1_13,13,34560,34560
L1_trip_19,L1_14,14,34680,34680
L1_trip_19,L1_15,15,34800,34800
L1_trip_19,L1_16,16,34920,34920
L1_trip_19,L1_17,17,35040,35040
L1_trip_19,L1_18,18,35160,35160
L1_trip_19,L1_19,19,35280,35280
L1_trip_19,L1_20,20,35400,35400
L1_trip_19,L1_21,21,35520,35520
L1_trip_19,L1_22,22,35640,35640
L1_trip_19,L1_23,23,35760,35760
L1_trip_19,L1_24,24,35880,35880
L1_trip_19,L1_25,25,36000,36000
L1_trip_19,L1_26,26,36120,36120
L1_trip_19,L1_27,27,36240,36240
L1_trip_19,L1_28,28,36360,36360
L1_trip_20,L1_0,0,33600,33600
L1_trip_20,L1_1,1,33720,33720
L1_trip_20,L1_2,2,33840,33840
L1_trip_20,L1_3,3,33960,33960
L1_trip_20,L1_4,4,34080,34080
L1_trip_20,L1_5,5,34200,34200
L1_trip_20,L1_6,6,34320,34320
L1_trip_20,L1_7,7,34440,34440
L1_trip_20,L1_8,8,34560,34560
L1_trip_20,L1_9,9,34680,34680
L1_trip_20,L1_10,10,34800,34800
L1_trip_20,L1_11,11,34920,34920
L1_trip_20,L1_12,12,35040,35040
L1_trip_20,L1_13,13,35160,35160
L1_trip_20,L1_14,14,35280,35280
L1_trip_20,L1_15,15,35400,35400
L1_trip_20,L1_16,16,35520,35520
L1_trip_20,L1_17,17,35640,35640
L1_trip_20,L1_18,18,35760,35760
L1_trip_20,L1_19,19,35880,35880
L1_trip_20,L1_20,20,36000,36000
L1_trip_20,L1_21,21,36120,36120
L1_trip_20,L1_22,22,36240,36240
L1_trip_20,L1_23,23,36360,36360
L1_trip_20,L1_24,24,36480,36480
L1_trip_20,L1_25,25,36600,36600
L1_trip_20,L1_26,26,36720,36720
L1_trip_20,L1_27,27,36840,36840
L1_trip_20,L1_28,28,36960,36960
L1_trip_21,L1_0,0,34200,34200
L1_trip_21,L1_1,1,34320,34320
L1_trip_21,L1_2,2,34440,34440
L1_trip_21,L1_3,3,34560,34560
L1_trip_21,L1_4,4,34680,34680
L1_trip_21,L1_5,5,34800,34800
L1_trip_21,L1_6,6,34920,34920
L1_trip_21,L1_7,7,35040,35040
L1_trip_21,L1_8,8,35160,35160
L1_trip_21,L1_9,9,35280,35280
L1_trip_21,L1_10,10,35400,35400
L1_trip_21,L1_11,11,35520,35520
L1_trip_21,L1_12,12,35640,35640
L1_trip_21,L1_13,13,35760,35760
L1_trip_21,L1_14,14,35880,35880
L1_trip_21,L1_15,15,36000,36000
L1_trip_21,L1_16,16,36120,36120
L1_trip_21,L1_17,17,36240,36240
L1_trip_21,L1_18,18,36360,36360
L1_trip_21,L1_19,19,36480,36480
L1_trip_21,L1_20,20,36600,36600
L1_trip_21,L1_21,21,36720,36720
L1_trip_21,L1_22,22,36840,36840
L1_trip_21,L1_23,23,36960,36960
L1_trip_21,L1_24,24,37080,37080
L1_trip_21,L1_25,25,37200,37200
L1_trip_21,L1_26,26,37320,37320
L1_trip_21,L1_27,27,37440,37440
L1_trip_21,L1_28,28,37560,37560
L1_trip_22,L1_0,0,34800,34800
L1_trip_22,L1_1,1,34920,34920
L1_trip_22,L1_2,2,35040,35040
L1_trip_22,L1_3,3,35160,35160
L1_trip_22,L1_4,4,35280,35280
L1_trip_22,L1_5,5,35400,35400
L1_trip_22,L1_6,6,35520,35520
L1_trip_22,L1_7,7,35640,35640
L1_trip_22,L1_8,8,35760,35760
L1_trip_22,L1_9,9,35880,35880
L1_trip_22,L1_10,10,36000,36000
L1_trip_22,L1_11,11,36120,36120
L1_trip_22,L1_12,12,36240,36240
L1_trip_22,L1_13,13,36360,36360
L1_trip_22,L1_14,14,36480,36480
L1_trip_22,L1_15,15,36600,36600
L1_trip_22,L1_16,16,36720,36720
L1_trip_22,L1_17,17,36840,36840
L1_trip_22,L1_18,18,36960,36960
L1_trip_22,L1_19,19,37080,37080
L1_trip_22,L1_20,20,37200,37200
L1_trip_22,L1_21,21,37320,37320
L1_trip_22,L1_22,22,37440,37440
L1_trip_22,L1_23,23,37560,37560
L1_trip_22,L1_24,24,37680,37680
L1_trip_22,L1_25,25,37800,37800
